Start,Day,,End,Day,Designation,comments
14/12/2019,Sa,to,06/01/2020,Mo,Christmas holidays,
17/02/2020,Mo,to,21/02/2020,Fr,Winter holidays,
21/03/2020,Sa,to,27/03/2020,Fr,Schools closed,Covid-19
28/03/2020,Sa,to,20/04/2020,Mo,Easter holidays,
08/05/2020,Fr,,08/05/2020,,Bank Holiday,
25/05/2020,Mo,to,29/05/2020,Fr,Spring time holidays,
04/07/2020,Sa,to,02/09/2020,We,Summer holidays,
21/10/2020,We,to,30/10/2020,Fr,Autumn holidays,
12/12/2020,Sa,to,04/01/2021,Mo,Christmas holidays,
15/12/2018,Sa,to,07/01/2019,Mo,Christmas holidays,
18/02/2019,Mo,to,22/02/2019,Fr,Winter holidays,
29/03/2019,Fr,to,23/04/2019,Tu,Easter holidays,
06/05/2019,Mo,,06/05/2019,,May Day,
27/05/2019,Mo,to,31/05/2019,Fr,May holidays,
06/07/2019,Sa,to,03/09/2019,Tu,Summer holidays,
21/10/2019,Mo,to,29/10/2019,Tu,Autumn holidays,
14/12/2019,Sa,to,06/01/2020,Mo,Christmas holidays,
16/12/2017,Sa,to,08/01/2018,Mo,Christmas holidays,
12/02/2018,Mo,to,16/02/2018,Fr,Winter holidays,
24/03/2018,Sa,to,16/04/2018,Mo,Easter holidays,
28/05/2018,Mo,to,01/06/2018,Fr,May holidays,
07/07/2018,Sa,to,04/09/2018,Tu,Summer holidays,
18/10/2018,Th,to,26/10/2018,Fr,Autumn holidays,
15/12/2018,Sa,to,07/01/2019,Mo,Christmas holidays,
17/12/2016,Sa,to,09/01/2017,Mo,Christmas holidays,
13/02/2017,Mo,to,17/02/2017,Fr,Winter holidays,
01/04/2017,Sa,to,24/04/2017,Mo,Easter holidays,
29/05/2017,Mo,to,02/06/2017,Fr,May holidays,
08/07/2017,Sa,to,05/09/2017,Tu,Summer holidays,
19/10/2017,Th,to,27/10/2017,Fr,Autumn holidays,
16/12/2017,Sa,to,08/01/2018,Mo,Christmas holidays,
19/12/2015,Sa,to,11/01/2016,Mo,Christmas holidays,ca.
15/02/2016,Mo,to,19/02/2016,Fr,Winter holidays,approximately
25/03/2016,Fr,to,18/04/2016,Mo,Easter holidays,approximately
02/05/2016,Mo,,02/05/2016,,early May Bank Holiday,
29/05/2016,Su,to,02/06/2016,Th,May holidays,
30/05/2016,Mo,to,03/06/2016,Fr,Spring time holidays,approximately
01/06/2016,We,to,03/06/2016,Fr,Bank holiday,
09/07/2016,Sa,to,05/09/2016,Mo,Summer holidays,
20/10/2016,Th,to,28/10/2016,Fr,Autumn holidays,
17/12/2016,Sa,to,09/01/2017,Mo,Christmas holidays,
22/12/2014,Mo,to,04/01/2015,Su,Christmas holidays,~
16/02/2015,Mo,to,20/02/2015,Fr,Winter holidays,~
30/03/2015,Mo,to,17/04/2015,Fr,Easter holidays,~
04/05/2015,Mo,,04/05/2015,,early May Bank Holiday,
25/05/2015,Mo,to,29/05/2015,Fr,May holidays,~
20/07/2015,Mo,to,31/08/2015,Mo,Summer holidays,
26/10/2015,Mo,to,30/10/2015,Fr,Autumn holidays,approximately
19/12/2015,Sa,to,11/01/2016,Mo,Christmas holidays,ca.
23/12/2013,Mo,to,05/01/2014,Su,Christmas holidays,approximately
17/02/2014,Mo,to,21/02/2014,Fr,Winter holidays,approximately
07/04/2014,Mo,to,21/04/2014,Mo,Easter holidays,approximately
26/05/2014,Mo,to,30/05/2014,Fr,May holidays,approximately
24/07/2014,Th,to,03/09/2014,We,Summer holidays,approximately
27/10/2014,Mo,to,31/10/2014,Fr,Autumn holidays,approximately
22/12/2014,Mo,to,04/01/2015,Su,Christmas holidays,~
